Squad,MP_median,MP_mean,MP_std,Starts_median,Starts_mean,Starts_std,Min_median,Min_mean,Min_std,90s_median,90s_mean,90s_std,Gls_median,Gls_mean,Gls_std,Gls.1_median,Gls.1_mean,Gls.1_std,Ast_median,Ast_mean,Ast_std,Ast.1_median,Ast.1_mean,Ast.1_std,G+A_median,G+A_mean,G+A_std,G+A.1_median,G+A.1_mean,G+A.1_std,G-PK_median,G-PK_mean,G-PK_std,G-PK.1_median,G-PK.1_mean,G-PK.1_std,PK_median,PK_mean,PK_std,PKatt_median,PKatt_mean,PKatt_std,CrdY_median,CrdY_mean,CrdY_std,CrdR_median,CrdR_mean,CrdR_std,Gls.2_median,Gls.2_mean,Gls.2_std,Gls.3_median,Gls.3_mean,Gls.3_std,Ast.2_median,Ast.2_mean,Ast.2_std,Ast.3_median,Ast.3_mean,Ast.3_std,G+A.2_median,G+A.2_mean,G+A.2_std,G+A.3_median,G+A.3_mean,G+A.3_std,G-PK.2_median,G-PK.2_mean,G-PK.2_std,G-PK.3_median,G-PK.3_mean,G-PK.3_std,G+A-PK_median,G+A-PK_mean,G+A-PK_std
Leeds United,26.5,24.863636363636363,7.723159078200198,19.0,18.0,10.945753688509704,1641.0,1616.3636363636363,921.0315927291499,18.200000000000003,17.95909090909091,10.235496549283265,1.0,2.1363636363636362,3.2992849809134985,0.03,0.1109090909090909,0.16967501404040136,1.0,1.0909090909090908,1.3059968245090439,0.035,0.06181818181818182,0.07281001786360652,2.0,3.227272727272727,3.82886055637616,0.125,0.17272727272727273,0.1951844504487222,1.0,1.8636363636363635,2.623981971218816,0.03,0.0959090909090909,0.1357399155566434,0.0,0.2727272727272727,0.9351250581921513,0.0,0.36363636363636365,1.2167659925061516,2.5,2.6818181818181817,2.2758852518643553,0.0,0.045454545454545456,0.21320071635561041,1.0,2.1363636363636362,3.2992849809134985,0.03,0.1109090909090909,0.16967501404040136,1.0,1.0909090909090908,1.3059968245090439,0.035,0.06181818181818182,0.07281001786360652,2.0,3.227272727272727,3.82886055637616,0.125,0.17272727272727273,0.1951844504487222,1.0,1.8636363636363635,2.623981971218816,0.03,0.0959090909090909,0.1357399155566434,0.125,0.15818181818181817,0.16715081196151557
Liverpool,26.0,24.863636363636363,10.176047761874354,19.0,18.5,12.26590318535007,1825.0,1664.1818181818182,1044.224963737113,20.25,18.486363636363635,11.59947845521084,2.0,2.727272727272727,3.1195515273195493,0.08,0.15045454545454545,0.1764322957350921,1.0,1.9545454545454546,2.081146037924497,0.10500000000000001,0.13136363636363638,0.1269906428703445,3.0,4.681818181818182,4.784761163730056,0.22999999999999998,0.2827272727272727,0.24530218134611068,2.0,2.6818181818181817,3.06106678629034,0.08,0.14863636363636365,0.17501824271025374,0.0,0.045454545454545456,0.21320071635561041,0.0,0.09090909090909091,0.29424494316824984,1.5,2.5,2.4250675002878537,0.0,0.045454545454545456,0.21320071635561044,2.0,2.727272727272727,3.1195515273195493,0.08,0.15045454545454545,0.1764322957350921,1.0,1.9545454545454546,2.081146037924497,0.10500000000000001,0.13136363636363638,0.1269906428703445,3.0,4.681818181818182,4.784761163730056,0.22999999999999998,0.2827272727272727,0.24530218134611068,2.0,2.6818181818181817,3.06106678629034,0.08,0.14863636363636365,0.17501824271025374,0.22999999999999998,0.2809090909090909,0.2432891497572598
Manchester City,20.0,21.12,10.001333244456292,16.0,15.84,10.027794706049116,1359.0,1422.8,876.6140827068659,15.1,15.812000000000001,9.742489414928816,1.0,2.88,5.286145413563018,0.07,0.1416,0.19314674904503745,1.0,2.24,2.947880594596735,0.12,0.134,0.15160255055022437,2.0,5.12,7.378572581016828,0.19,0.2748,0.29214893462068287,1.0,2.76,4.745875402213308,0.07,0.1376,0.17903165455676637,0.0,0.12,0.6000000000000001,0.0,0.16,0.8,2.0,2.56,2.433789911502908,0.0,0.0,0.0,1.0,2.88,5.286145413563018,0.07,0.1416,0.19314674904503745,1.0,2.24,2.947880594596735,0.12,0.134,0.15160255055022437,2.0,5.12,7.378572581016828,0.19,0.2748,0.29214893462068287,1.0,2.76,4.745875402213308,0.07,0.1376,0.17903165455676637,0.19,0.27080000000000004,0.2812904785685668
Manchester Utd,25.0,24.045454545454547,9.026296359749438,15.5,18.0,10.387721689800989,1477.5,1613.7727272727273,848.7092121803714,16.45,17.931818181818183,9.426628259686511,1.0,2.727272727272727,3.7439706218553606,0.06,0.13454545454545455,0.16809088450759443,1.0,1.9090909090909092,3.9750302893016802,0.060000000000000005,0.08181818181818182,0.1283461229360952,3.0,4.636363636363637,6.521360174698107,0.15500000000000003,0.21636363636363634,0.23927560229328407,1.0,2.5454545454545454,3.568743579459126,0.06,0.12863636363636363,0.16611228143424567,0.0,0.18181818181818182,0.8528028654224417,0.0,0.2727272727272727,1.2792042981336627,2.0,2.772727272727273,2.6535119259437185,0.0,0.13636363636363635,0.3512500866571044,1.0,2.727272727272727,3.7439706218553606,0.06,0.13454545454545455,0.16809088450759443,1.0,1.9090909090909092,3.9750302893016802,0.060000000000000005,0.08181818181818182,0.1283461229360952,3.0,4.636363636363637,6.521360174698107,0.15500000000000003,0.21636363636363634,0.23927560229328407,1.0,2.5454545454545454,3.568743579459126,0.06,0.12863636363636363,0.16611228143424567,0.15500000000000003,0.2109090909090909,0.22534437330469687
Newcastle United,26.0,25.09090909090909,6.148240870433249,18.0,17.954545454545453,7.325605924734291,1605.5,1611.909090909091,588.6505883387149,17.85,17.904545454545453,6.529236612034421,1.0,2.272727272727273,2.7976489820633015,0.055,0.13272727272727272,0.1737864540225492,1.0,1.3181818181818181,1.3587937099944,0.065,0.07090909090909091,0.06851548944853487,2.5,3.590909090909091,3.5678336885899307,0.13,0.20454545454545456,0.18967961139340986,1.0,2.0,2.370453040886408,0.055,0.12000000000000001,0.16248076809271922,0.0,0.2727272727272727,0.7672969364884683,0.0,0.2727272727272727,0.7672969364884683,2.0,2.909090909090909,2.89349172666769,0.0,0.13636363636363635,0.35125008665710444,1.0,2.272727272727273,2.7976489820633015,0.055,0.13272727272727272,0.1737864540225492,1.0,1.3181818181818181,1.3587937099944,0.065,0.07090909090909091,0.06851548944853487,2.5,3.590909090909091,3.5678336885899307,0.13,0.20454545454545456,0.18967961139340986,1.0,2.0,2.370453040886408,0.055,0.12000000000000001,0.16248076809271922,0.13,0.1918181818181818,0.1744279456540959
Nottingham Forest,18.0,18.586206896551722,11.440895448781568,11.0,13.655172413793103,11.799745342497154,1028.0,1225.4137931034484,1020.4695528894451,11.4,13.610344827586207,11.337023570949999,0.0,1.5172413793103448,2.7074063716191077,0.0,0.11586206896551723,0.20689053767942311,0.0,1.0689655172413792,1.4621665549733924,0.0,0.07862068965517242,0.10979604917205858,1.0,2.586206896551724,3.7939542261275023,0.15,0.19413793103448276,0.24372873154653057,0.0,1.4137931034482758,2.4715125701150003,0.0,0.11241379310344826,0.2047761002449434,0.0,0.10344827586206896,0.30993404669460345,0.0,0.10344827586206896,0.30993404669460345,1.0,2.0,2.1547290184283368,0.0,0.034482758620689655,0.18569533817705186,0.0,1.5172413793103448,2.7074063716191077,0.0,0.11586206896551723,0.20689053767942311,0.0,1.0689655172413792,1.4621665549733924,0.0,0.07862068965517242,0.10979604917205858,1.0,2.586206896551724,3.7939542261275023,0.15,0.19413793103448276,0.24372873154653057,0.0,1.4137931034482758,2.4715125701150003,0.0,0.11241379310344826,0.2047761002449434,0.15,0.1906896551724138,0.24129014890913206
Sunderland,23.0,20.72,11.126245248660185,15.0,15.8,11.543396380615196,1361.0,1416.76,1024.6790261670562,15.1,15.748,11.383105903047726,1.0,1.36,1.7530925056406275,0.03,0.08439999999999999,0.11060741385639572,0.0,0.84,1.5726834816113933,0.0,0.031200000000000002,0.053018864567246256,1.0,2.2,2.6925824035672523,0.06,0.11560000000000001,0.12613088440187836,1.0,1.2,1.6583123951777001,0.03,0.078,0.110227038425243,0.0,0.16,0.6244997998398397,0.0,0.2,0.816496580927726,2.0,3.08,2.8855964143772197,0.0,0.12,0.33166247903553997,1.0,1.36,1.7530925056406275,0.03,0.08439999999999999,0.11060741385639572,0.0,0.84,1.5726834816113933,0.0,0.031200000000000002,0.053018864567246256,1.0,2.2,2.6925824035672523,0.06,0.11560000000000001,0.12613088440187836,1.0,1.2,1.6583123951777001,0.03,0.078,0.110227038425243,0.06,0.1092,0.12086218046463776
Tottenham Hotspur,23.0,21.03846153846154,9.017674951918679,14.0,15.23076923076923,8.547784238304999,1335.5,1362.8461538461538,741.951787776413,14.85,15.142307692307693,8.251699125727892,1.0,1.7307692307692308,2.2010487011003153,0.09,0.12769230769230772,0.1647861084511117,1.0,1.3461538461538463,1.5477030126560507,0.055,0.08192307692307692,0.0950376443634513,2.0,3.076923076923077,3.199038317033129,0.18,0.20961538461538462,0.195212310456708,1.0,1.7307692307692308,2.2010487011003153,0.09,0.12769230769230772,0.1647861084511117,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.6538461538461537,3.071707117448637,0.0,0.15384615384615385,0.4640954808922571,1.0,1.7307692307692308,2.2010487011003153,0.09,0.12769230769230772,0.1647861084511117,1.0,1.3461538461538463,1.5477030126560507,0.055,0.08192307692307692,0.0950376443634513,2.0,3.076923076923077,3.199038317033129,0.18,0.20961538461538462,0.195212310456708,1.0,1.7307692307692308,2.2010487011003153,0.09,0.12769230769230772,0.1647861084511117,0.18,0.20961538461538462,0.195212310456708
West Ham United,18.0,17.689655172413794,10.229870297585336,12.0,13.655172413793103,10.317377373250867,1171.0,1223.5172413793102,908.1995776845549,13.0,13.593103448275862,10.091861326070157,0.0,1.3793103448275863,2.2899437470234982,0.0,0.0696551724137931,0.12001436695605268,0.0,0.9310344827586207,2.069006567737256,0.0,0.03896551724137932,0.06608137989231844,1.0,2.310344827586207,3.7806220980515706,0.05,0.10827586206896553,0.15014442964590657,0.0,1.2758620689655173,2.1363612542982975,0.0,0.06482758620689655,0.1150347987615416,0.0,0.10344827586206896,0.40925259281898757,0.0,0.10344827586206896,0.40925259281898757,1.0,2.2413793103448274,2.385299807658105,0.0,0.10344827586206896,0.30993404669460345,0.0,1.3793103448275863,2.2899437470234982,0.0,0.0696551724137931,0.12001436695605268,0.0,0.9310344827586207,2.069006567737256,0.0,0.03896551724137932,0.06608137989231844,1.0,2.310344827586207,3.7806220980515706,0.05,0.10827586206896553,0.15014442964590657,0.0,1.2758620689655173,2.1363612542982975,0.0,0.06482758620689655,0.1150347987615416,0.05,0.10310344827586207,0.14345490700853555
Wolves,21.0,19.925925925925927,8.91811434849114,14.0,14.666666666666666,8.033583356041158,1236.0,1313.2222222222222,732.059231175127,13.7,14.58148148148148,8.138088843732907,1.0,0.8518518518518519,1.0267088458424103,0.03,0.054814814814814816,0.07870931771497386,1.0,0.6296296296296297,0.6877023141843226,0.03,0.05296296296296296,0.08457199094512115,1.0,1.4814814814814814,1.396984950372391,0.08,0.10888888888888888,0.1148354452561555,0.0,0.7777777777777778,1.0127393670836666,0.0,0.05,0.07755891061241524,0.0,0.07407407407407407,0.2668802563418119,0.0,0.14814814814814814,0.4560451819471487,2.0,2.8518518518518516,3.2189786209018783,0.0,0.1111111111111111,0.32025630761017426,1.0,0.8518518518518519,1.0267088458424103,0.03,0.054814814814814816,0.07870931771497386,1.0,0.6296296296296297,0.6877023141843226,0.03,0.05296296296296296,0.08457199094512115,1.0,1.4814814814814814,1.396984950372391,0.08,0.10888888888888888,0.1148354452561555,0.0,0.7777777777777778,1.0127393670836666,0.0,0.05,0.07755891061241524,0.07,0.10370370370370371,0.113481552148632
